iter	Passed	Remaining
443	10665	13355
444	10673	13311
445	10677	13262
446	10686	13220
447	10695	13177
448	10702	13134
449	10713	13093
450	10715	13043
451	10717	12994
452	10931	13200
453	10939	13156
454	10948	13114
455	10951	13064
456	10964	13027
457	10969	12981
458	10977	12939
459	10990	12901
460	11001	12863
461	11011	12823
462	11017	12778
463	11028	12739
464	11225	12914
465	11231	12871
466	11240	12828
467	11251	12790
468	11259	12748
469	11277	12716
470	11286	12676
471	11301	12641
472	11312	12604
473	11331	12574
474	11336	12530
475	11355	12500
476	11382	12479
477	11409	12459
478	11429	12432
479	11446	12400
480	11461	12366
481	11479	12337
482	11506	12315
483	11525	12287
484	11537	12250
485	11559	12225
486	11566	12183
487	11578	12147
488	11678	12203
489	11691	12168
490	11700	12129
491	11714	12095
492	11727	12060
493	11737	12022
494	11744	11981
495	11749	11938
496	11755	11897
497	11760	11855
498	11764	11811
499	11778	11778
500	11966	11919
501	11975	11880
502	11986	11843
503	11996	11805
504	11998	11760
505	12001	11716
506	12003	11671
507	12005	11627
508	12008	11583
509	12010	11539
510	12013	11495
511	12015	11452
512	12276	11654
513	12289	11620
514	12294	11578
515	12315	11551
516	12329	11518
517	12338	11481
518	12355	11450
519	12374	11422
520	12383	11385
521	12395	11350
522	12411	11319
523	12471	11328
524	12504	11313
525	12521	11283
526	12537	11253
527	12553	11221
528	12577	11198
529	12585	11160
530	12592	11122
531	12599	11083
532	12612	11050
533	12643	11033
534	12646	10991
535	12839	11114
536	12849	11078
537	12861	11044
538	12871	11008
539	12879	10971
540	12890	10936
541	12903	10903
542	12915	10870
543	12927	10835
544	12933	10797
545	12950	10768
546	13114	10860
547	13129	10829
548	13136	10791
549	13160	10768
550	13188	10746
551	13204	10716
552	13217	10684
553	13233	10653
554	13254	10627
555	13272	10598
556	13297	10575
557	13318	10550
558	13350	10531
559	13377	10510
560	13401	10487
561	13422	10460
562	13443	10434
563	13460	10405
564	13479	10378
565	13497	10349
566	13516	10322
567	13534	10293
568	13552	10265
569	13652	10299
570	13677	10276
571	13707	10256
572	13715	10220
573	13722	10184
574	13732	10150
575	13741	10115
576	13749	10079
577	13752	10040
578	13754	10001
579	13757	9961
580	13956	10065
581	13962	10028
582	13974	9995
583	13982	9960
584	13999	9931
585	14010	9898
586	14030	9871
587	14038	9836
588	14048	9803
589	14053	9765
590	14059	9729
591	14245	9817
592	14252	9782
593	14299	9774
594	14309	9739
595	14324	9710
596	14350	9687
597	14368	9659
598	14388	9632
599	14413	9608
600	14434	9582
601	14446	9551
602	14456	9517
603	14604	9574
604	14615	9542
605	14630	9512
606	14655	9488
607	14664	9454
608	14674	9421
609	14689	9391
610	14703	9361
611	14716	9330
612	14739	9305
613	14749	9272
614	14766	9243
615	14783	9215
616	14796	9185
617	14809	9154
618	14824	9124
619	14843	9097
620	14860	9069
621	14863	9032
622	14868	8997
623	14884	8969
624	14898	8938
625	14919	8913
626	14935	8884
627	14953	8857
628	14972	8831
629	14991	8804
630	15010	8777
631	15023	8747
632	15032	8715
633	15044	8685
634	15059	8656
635	15075	8628
636	15091	8599
637	15107	8572
638	15122	8543
639	15147	8520
640	15165	8493
641	15191	8471
642	15209	8444
643	15228	8418
644	15245	8390648	15140	8188
649	15146	8156
650	15150	8122
651	15153	8087
6649	15364	8273
650	15377	8243654	15315	8067
655	15331	8039
656	15340	8009
657	15350	7978
658	15362	7949
659	15372	7919
660	15383	7889
661	15396	7861
662	15425	7840
663	15441	7813
664	15456	7786
665	15470	7758
666	15489	7732
667	15498	7702
668	15506	7672
669	15516	7642
670	15535	7617
671	15568	7598
672	15582	7571
673	15602	7546
674	15622	7522
675	15638	7495
676	15649	7466
677	15674	7443
678	15692	7418
679	15701	7388
680	15704	7356
681	15711	7326
682	15732	7301
683	15761	7281
684	15781	7257
685	15802	7233
6683	16247	7506
684	16253	7474
685	16258	7442
686	16267	7411
687	16271	7378
688	16280	7348
689	16287	7317
690	16296	7287
691	16306	7257
692	16312	7226696	15983	6948
697	15996	6921
6695	16528	7219
696	16534	7187
697	16541	7156
698	16556	7129
699	16559	7096
700	16568	7067
701	16575	7036
702	16582	7005
703	16585	6973
704	16612	6951
705	16629	6925
706	16777	6953
707	16792	69708708	16811	68709709	16829	68710	17718	7201
711	17758	7183
712	17786	7159
713	17811	7134
714	17820	7103
715	17835	7074
716	17890	7061
717	17905	7032
718	18009	7038
719	18025	7009
720	18044	6982
721	18070	6957
722	18087	6929
723	18099	6899
724	18119	6872
725	18128	6842
726	18148	6815
727	18173	6790
728	18191	6762
729	18325	6778
730	18344	6750
731	18354	6720
732	18374	6693
733	18386	6663
734	18399	6633
735	18410	6603
736	18419	6572
737	18423	6540
738	18461	6520
739	18517	6505
740	18686	6531
741	18710	6505
742	18721	6475
743	18731	6445
744	18739	6414
745	18748	6383
746	18752	6351
747	18756	6318
748	18764	6288
749	18787	6262
750	18809	6236
751	18826	6208
752	18909	6202
753	18939	6179
754	18976	6158
755	18990	6129
756	19006	6101
757	19022	6073
758	19287	6124
759	19303	6095
760	19317	6066
761	19332	6038
762	19345	6008
763	19359	5980
764	19414	5963
765	19456	5943
766	19477	5916
767	19479	5884
768	19484	5853
769	19644	5867
770	19660	5839
771	19674	5810
772	19688	5781
773	19700	5752
774	19713	5723
775	19722	5693
776	19732	5663
777	19780	5644
778	19825	5624
779	19851	5599
780	20032	5617
781	20046	5588
782	20073	5563
783	20096	5536
784	20113	5508
785	20131	5481
786	20143	5451
787	20155	5422
788	20172	5394
789	20178	5363
790	20186	5333
791	20266	5322
792	20288	5295
793	20304	5268
794	20324	5240
795	20342	5213
796	20369	5188
797	20379	5158
798	20382	5127
799	20409	5102
800	20419	5072
801	20429	5043
802	20442	5015
803	20640	5031
804	20659	5004
805	20668	4974
806	20679	4945
807	20689	4916
808	20698	4886
809	20701	4855
810	20704	4825
811	20707	4794
812	20710	4763
813	20748	4741
814	20870	4737
815	20880	4708
816	20897	4680
817	20907	4651
818	20915	4622
819	20933	4595
820	20948	4567
821	20959	4538
822	20976	4511
823	20987	4482
824	21029	4460
825	21047	4433
826	21062	4406
827	21083	4379
828	21088	4350
829	21098	4321
830	21108	4292
831	21128	4266
832	21147	4239
833	21156	4211
834	21165	4182
835	21172	4153
836	21181	4125
837	21339	4125
838	21355	4097
839	21375	4071
840	21382	4042
841	21398	4015
842	21409	3987
843	21414	3958
844	21430	3931
845	21454	3905
846	21474	3879
847	21485	3851
848	21497	3823
849	21518	3797
850	21545	3772
851	21575	3747
852	21593	3721
853	21601	3692
854	21610	3664
855	21621	3637
856	21629	3609
857	21639	3581
858	21649	3553
859	21655	3525
860	21662	3497
861	21665	3468
862	21673	3440
863	21677	3412
864	21684	3384
865	21699	3357
866	21726	3332
867	21744	3306
868	21763	3280
869	21782	3254
870	21796	3228
871	21811	3201
872	21825	3175
873	21835	3147
874	21850	3121
875	21860	3094
876	21867	3066
877	21872	3039
878	21884	3012
879	21897	2985
880	21914	2960
881	21919	2932
882	21930	2905
883	21940	2879
884	21961	2853
885	21980	2828
886	22013	2804
887	22037	2779
888	22055	2753
889	22059	2726
890	22069	2699
891	22076	2672
892	22085	2646
893	22092	2619
894	22097	2592
895	22106	2565
896	22115	2539
897	22125	2513
898	22149	2488
899	22167	2463
900	22210	2440
901	22230	2415
902	22249	2390
903	22262	2364
904	22273	2338
905	22282	2311
906	22290	2285
907	22299	2259
908	22306	2233
909	22312	2206
910	22317	2180
911	22328	2154
912	22338	2128
913	22341	2102
91917	21190	1892
918	21196	1868
919	21205	1843
920	21219	1820
921	21237	1796
922	21255	1773
923	21268	1749
924	21286	1725
925	21303	1702
926	21319	167924	22581	1830
925	22601	1806
926	22617	1781
92930	21434	15892931	21444	15692932	21447	15493933	21449	15193934	21452	14993935	21454	14693936	21462	1443
937	21470	141935	22734	1554
936	22746	1529
93940	21589	1353
941	21594	1329
942	21602	1305
943	21609	128941	22854	1407
942	22864	1382
943	22934	1360
944	22940	1335
945	22949	1309
946	22958	1284
947	22964	1259
948	22969	1234
949	22972	1209
950	22982	1184
951	22990	1159
952	22996	1134
95956	21814	9809957	21828	956
955	23057	1061
956	23068	1036
957	23077	1011
958	23080	986
959	23087	9963	21932	819
964	21946	796
965	21961	772
966	21975	749
967	21988	726
968	22000	703
969	22009	680
970	22028	657
971	22046	635
972	22063	612
973	22078	589
974	22089	566
975	22099	543
976	22107	520
977	22118	497
978	22129	474
979	22141	451
980	22151	429
981	22164	406
982	22176	383
983	22181	360
984	22186	337
985	22192	315
986	22195	292
987	22197	269
988	22200	246
989	22204	224
990	22214	201
991	22227	179
992	22240	156
993	22251	134
994	22261	111
995	22271	89
996	22277	67
997	22283	44
998	22293	22
999	22303	0
439	70
997	23449	46
998	23457	23
999	23466	0

