iter	RMSE
0	0.9591551584
1	0.9191518386
2	0.8822414068
3	0.8490667007
4	0.8138007416
5	0.782262673
6	0.751638398
7	0.7228542498
8	0.6937125021
9	0.6658687713
10	0.6411853147
11	0.6175581006
12	0.593655874
13	0.5716560279
14	0.5518134752
15	0.5309123261
16	0.5128383311
17	0.493933164
18	0.4754756569
19	0.45752556
20	0.4425337924
21	0.4280530899
22	22	0.4141213432
23	0.3997245383
24	0.3860396524
25	0.3742306855
26	0.3627259827
27	0.3524145894
28	0.3415373852
29	0.331241195
30	0.3222086334
31	0.3131327334
32	0.3041089166
33	0.2955595766
34	0.2869925801
35	0.2794571481
36	0.2724455729
37	0.2658218076
38	0.2588790009
39	0.2526797017
40	0.2464945045
41	0.2409447051
42	0.2358124366
43	0.2304244628
44	0.2254309636
45	0.2202717294
46	0.2156321851
47	0.211632005
48	0.2071474411
49	0.2032658594
50	0.1997542691
51	0.1963522871
52	0.192347805
53	0.1893956444
54	0.1861016017
55	0.1828982418
56	0.180240947
57	0.177295302
58	0.1745524684
59	0.1722476064
60	0.1696723271
61	0.1671761154
62	0.1648555264
63	0.1629027619
64	0.1605981355
65	0.1586352254
66	0.1565101365
67	0.1545079161
68	0.152711369
69	0.1510160768
70	0.1497404611
71	0.147779207
72	0.1463853823
73	0.1449814024
74	0.143255094
75	0.1414019417
76	0.1397802033
77	0.1384296292
78	0.1370089711
79	0.1358085378
80	0.1346433905
81	0.1335350141
82	0.1321767038
83	0.1310071804
84	0.12973942
85	0.1289027184
86	0.1281878848
87	0.1273279629
88	0.1266540687
89	0.1256935927
90	0.124913035
91	0.1240550193
92	0.1234923321
93	0.1223060914
94	0.1215910111
95	0.1204754101
96	0.1197700293
97	0.1191503176
98	0.1185794299
99	0.1180615677
100	0.1175117051
101	0.1167394752
102	0.116134542
103	0.1157336332
104	0.1152465075
105	0.1147111681
106	0.1141942534
107	0.1137938837
108	0.1132116802
109	0.1128166517
110	0.1124128767
111	0.1118112	0.1112	0.1111113	0.1113	0.1107114	0.1114	0.1103115	0.1115	0.1101179313
116	0.1097963449
117	0.109271496
118	0.10900119	0.1076567539
120	0.1072785789
121	0.121	0.1076122	0.10663604122	0.1084063559
123124	0.1059808347
125	0.105680383
126	0.1053645264
127	0.1051192803
128	0.1048960847
129	0.1043905281
130	0.1041244264
131	0.1038752141
132	0.1036682612
133	0.103443046133	0.1052826304
134	0.1051148764
1136	0.1024896579
137	0.1022685922
138	0.1020673283
139	0.101834377
140	0.1015728619
141	0.101363476
142	0.1010921147
143	0.1009438046
144	0.1006939512144	0.1028305065
145	0.1025270807
1147	0.1001208265
148	0.09985013091
149	0.09969390205
150	0.09950847636
151	0.09936338506
152	0.09914938729
153	0.099153	0.10094343
154	0.100791809
155	0.1006320122
156	0.1004108141
157	0.1002348729
158	0.1001225325
159	0.0999685707160	0.0978139465
161	0.09770768143
162162	0.0995578436
163	0.09937419966
164	0.09905733902
165	0.09883237939
166	0.09866498936
167	0.09851881958
168	0.09835274868
169	0.0982170	0.09170	0.0980171	0.09171	0.0979172	0.09609020665
173	0.09597055528
174	0.09576379091
175	0.09568500158
176	0.09557017376
177	0.09545802287
178	0.0178	0.09707999576
179	0.0969450054
180	0.09685691892
181	0.09679027177
182	0.09669820439
183	0.09660492086
184	0.096443185	0.09469231178
186	0.09455306048
187	0.09442901211
188	0.0943398188	0189	0.189	0.0957929132
190	0.09568736112
191	0.0955855361
192	0.192	0.09423623829
193	0.09412023918
194	0.09398090091
195	0.09388310204
196	0197	0.09338081963
198	0.09329288225
199	0.09322603623
200	0.09314868461
201	0.09306512009
202	0.09301018577
203	0.09295913358
204	0.09286463207
205	0.0927436459
206	0.09262032535
207	0.09255945574
208	0.09245670142
209	0.0923816488
210	0.09230279109
211	0.09217655648
212	0.09211193855
213	0.09205504229
214	0.09197892878
215	0.09191758039
216	0.09183786062
217	0.0917281759
218	0.09167833641
219	0.09158744454
220	0.0914993325
221	0.09143397207
222	0.09136150429
223	0.09129072133
224	0.09124597531
225	0.09118557717
226	0.09114478298
227	0.09109714725
228	0.09104166549
229	0.09096450007
230	0.09081890225
231	0.09076023229
232	0.09066721246
233	0.09060395728
234	0.09056842866
235	0.09050296824
236	0.09046454363
237	0.09036688087
238	0.09022016923
239	0.09017744657
240	0.09014376983
241	0.0900241	0.08979320024
242	0.08975020533
243	0.0244	0.08993463831
245	0.08985593193
246	0.08982555728
247	0.08973989335
248	0.08964929777
249	0.08959849226
250	0.08948832616
251	0.08942486297
252	0.08933953857
253	0.08929270226
254	0.08923839053
255	0.08911030531
256	0.08903006441
257	0.08897854933
258	0.08892551286
259	0.08883905626
260	0.08880374807
261	0.08872208198
262	0.08864480421
263	0.088553403
264	0.08849019234
265	0.08845150136
266	0.08838261055
267	0.08832946426
268	0.08823798349
269	0.08818240283
270	0.08810389714
271	0.08805557102
272	0.0879928234
273	0.0879102978
274	0.087852916
275	0.08778837248
276	0.08775506753
277	0.08771553009
278	0.08763617558
279	0.08756289758
280	0.08750949012
281	0.08743674179
282	0.08739119962
283	0.08731807997
284	0.08725307297
285	0.0871812446
286	0.08712825375
287	0.08709510985
288	0.08705117141
289	0.08700079349
290	0.08694104285
291	0.08688798053
292	0.08685409997
293	0.08681697612
294	0.08678841653
295	0.0867418727
296	0.08669680135
297	0.08662719664
298	0.08657437206
299	0.08654514756
300	0.0864845136
301	0.08643076458
302	0.08637566005
303	0.0863293723
304	0.08627218234
305	0.08621033143
306	0.08615312722
307	0.08611560512
308	0.08606598996
309	0.08602268089
310	0.08599645896
311	0.08594095049
31311	0.0864872233313	0.0858527835
314	0.08580794955
315314	0.08632937563
315	0.08630322318
316	0.08625976063
317	0.08620316903
318	0.0861282888
319	0.08608473221
320	0.08602113259
321	0.0859622804
322	0.085901353
323	0.08582700751
324	0.08579094033
325	0.08573714698
326	0.08569556367
327	0.08565950431
328	0.08561965595
329	0.08556985523
330	0.08552609112
331	0.08547344496
332	0.08540486072
333	0.08535854836
3335	0.08479099668
336	0.08475967054
337	0.08470791389
338	0.08468404557
339	0.08466480254
340	0.08462988206
341	0.08457389694
342	0.08451874005
343	0.08446735986
344	0.08444667289
345	0.08441207366
346	0.08439317497
347	0.08434033656
348	0.0842820253
349	0.0842284793
350	0.08420792088
351	0.084158356873352	0.084116441583353	0.08407291772
354	0.08403972636
355	0.08399788665355	0.0843850219
356	0.08434996467
357	0.08429836197
358	0.08428142541
35360	0.08379617857
361	0.0837487527361	0.08414383611
362	0.08411503633
363	0.08405132535
364	0.08400950986
365	0.08398473898
366	0.08394748392
367	0.08390423001
368	0.08385797383
369	0.08380084747
3371	0.08335659482
372	0.08334573688
373	0.0833287074
374	0.08328879076374	0.0836379281
375	0.08357853669
376	0.08354624377
377	0.08350137645
378	0.08346035142
379	0.08341262041
380	0.0833633588
38382	0.08299569081
383	0.08296786231
384	0.08292035737
385	0.08287488526
386	0.0828488276386	0.08309745592
387	0.08303843781
388	0.08299673529
389	0.08296091882
390	0.08291726153
391	0.08286181054
392	0.08282913105
393	0.08277570391
394	0.08273744293
395	0.08267121845
396	0.08264298275
397	0.08260709024
398	0.08258490528
399	0.08253522316
400	0.08250215927
401	0.08247326266
402	0.08242802148
403	0.08240561538
404	0.08236221767
405	0.08233405824
406	0.08231214697
